mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__l2_regularization,param_estimator__learning_rate,param_estimator__max_iter,param_estimator__max_leaf_nodes,param_estimator__min_samples_leaf,param_estimator__warm_start,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
184.16474533081055,53.16805020814641,5.73117725054423,0.9065082498410554,0.0,0.05,300,15,30,True,"{'estimator__l2_regularization': 0.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.9395815742564969,0.9335406698564594,0.9375455464675841,0.9368892635268469,0.0025094703247664435,23
256.9913462797801,2.548071446003968,5.853761355082194,0.23335631397667117,0.0,0.05,300,,20,True,"{'estimator__l2_regularization': 0.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9444064707222601,0.9473684210526315,0.9521531100478469,0.9479760006075795,0.0031916004237033157,5
230.8064785003662,51.11630337625548,5.699877897898356,1.5231394585762301,0.0,0.05,300,,30,True,"{'estimator__l2_regularization': 0.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.940472393103972,0.9338056680161942,0.9372937691823141,0.9371906101008268,0.002722656447426711,19
90.73840967814128,6.172757343221247,3.0753782590230307,0.10787769796001746,1.0,0.01,200,15,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9436469962785753,0.9473684210526315,0.9521531100478469,0.9477228424596845,0.003481637906147139,13
92.32204445203145,1.943236792966507,3.8265584309895835,0.6732829656014471,1.0,0.01,200,15,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.933577258654658,0.926721447888496,0.931225207540997,0.9305079713613837,0.0028444514548345524,31
105.57482957839966,26.497233922504062,4.223593632380168,0.8795561519690114,1.0,0.01,200,,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9436469962785753,0.9473684210526315,0.9521531100478469,0.9477228424596845,0.003481637906147139,13
142.42479920387268,0.6700424576593943,5.13703982035319,0.3194550182377047,1.0,0.01,200,,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.933577258654658,0.926721447888496,0.931225207540997,0.9305079713613837,0.0028444514548345524,31
126.34741711616516,7.8295387163839685,3.5197577476501465,0.11373775536956907,1.0,0.01,300,15,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9444976076555024,0.9473684210526315,0.9521531100478469,0.948006379585327,0.003157733632093027,1
179.64405465126038,43.298393537825,3.7479936281840005,0.38952054035425987,1.0,0.01,300,15,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.9378358483621642,0.931279755078382,0.9356045381302021,0.9349067138569161,0.002721618247012083,27
121.01055653889973,4.3973890982290635,5.52158800760905,1.3435739670636795,1.0,0.01,300,,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9444976076555024,0.9473684210526315,0.9521531100478469,0.948006379585327,0.003157733632093027,1
133.6934526761373,10.44538765372701,3.5650902589162192,0.15379757144069384,1.0,0.01,300,,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.01, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.9378358483621642,0.931279755078382,0.9356045381302021,0.9349067138569161,0.002721618247012083,27
96.17943684260051,9.407550024771686,4.006393829981486,1.29532687101028,1.0,0.05,200,15,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9444976076555024,0.9473684210526315,0.9521531100478469,0.948006379585327,0.003157733632093027,1
121.9770766099294,0.8848602456702721,3.0858396689097085,0.0733262652055232,1.0,0.05,200,15,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.939429614706623,0.933743211266431,0.9379585326953748,0.9370437862228096,0.002409891678472939,20
120.11460916201274,1.058676540619219,2.7835755348205566,0.13120230958156337,1.0,0.05,200,,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9444976076555024,0.9473684210526315,0.9521531100478469,0.948006379585327,0.003157733632093027,1
97.60762929916382,15.796377332784175,3.345041513442993,0.5655288304159171,1.0,0.05,200,,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 200, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.939429614706623,0.933743211266431,0.9376800587326902,0.9369509615685815,0.002378022010998565,21
124.68727437655131,8.50077856275709,2.835547606150309,0.17467292805985488,1.0,0.05,300,15,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9440946864769579,0.9473684210526315,0.9521531100478469,0.9478720725258122,0.0033090578938012247,9
118.92091925938924,3.090369537684814,2.8060390949249268,0.06254046239608956,1.0,0.05,300,15,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': 15, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.9399080836061446,0.9339621781727044,0.9387925969022539,0.9375542862270342,0.0025805048410631488,18
119.65866510073344,10.255265607714474,2.509169101715088,0.16936727469884902,1.0,0.05,300,,20,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 20, 'estimator__warm_start': True}",0.9440946864769579,0.9473684210526315,0.9521531100478469,0.9478720725258122,0.0033090578938012247,9
103.92170476913452,2.107858193737826,2.405353864034017,0.2857438450582735,1.0,0.05,300,,30,True,"{'estimator__l2_regularization': 1.0, 'estimator__learning_rate': 0.05, 'estimator__max_iter': 300, 'estimator__max_leaf_nodes': None, 'estimator__min_samples_leaf': 30, 'estimator__warm_start': True}",0.9399080836061446,0.9339621781727044,0.9391343604019121,0.937668207393587,0.0026395266417445482,17
