Family,Accuracy,Macro F1,Blanking Ratio
Mayan,0.789261744966443,0.7528363646353033,0.2970494417862839
Tucanoan,0.75,0.734667844176234,0.29295774647887324
Sepik,0.7453703703703703,0.6843028354282373,0.2808842652795839
Worrorran,0.8048780487804879,0.7883369990224829,0.2997750281214848
Tungusic,0.8542056074766355,0.8254967884383781,0.2904451682953312
Nilotic,0.7390510948905109,0.7003231419338802,0.29257875066737854
Other,0.7981707317073171,0.754298886867682,0.29233511586452765
