Family,Accuracy,Macro F1,Blanking Ratio
Mayan,0.7248322147651006,0.6480350109812616,0.2970494417862839
Tucanoan,0.6490384615384616,0.605641118873854,0.29295774647887324
Sepik,0.7129629629629629,0.6074108818011257,0.2808842652795839
Worrorran,0.6904315196998124,0.6282417094667427,0.2997750281214848
Tungusic,0.7289719626168224,0.6183853877145429,0.2904451682953312
Nilotic,0.7226277372262774,0.6497283477149249,0.29257875066737854
Other,0.7445121951219512,0.6556816092109529,0.29233511586452765
